slot,parent_slot,cl_client,validator_id,validator,builder,relay,date,slot_in_epoch
[6787265](https://beaconcha.in/slot/6787265),0,Unknown,0,,,,2023-07-02 04:13:23,1
[6787304](https://beaconcha.in/slot/6787304),0,Unknown,0,,,,2023-07-02 04:21:11,8
[6787332](https://beaconcha.in/slot/6787332),0,Unknown,0,,,,2023-07-02 04:26:47,4
[6787414](https://beaconcha.in/slot/6787414),0,Unknown,0,,,,2023-07-02 04:43:11,22
[6787668](https://beaconcha.in/slot/6787668),0,Unknown,0,,,,2023-07-02 05:33:59,20
[6788012](https://beaconcha.in/slot/6788012),0,Unknown,0,,,,2023-07-02 06:42:47,12
[6788165](https://beaconcha.in/slot/6788165),0,Unknown,0,,,,2023-07-02 07:13:23,5
[6788224](https://beaconcha.in/slot/6788224),0,Unknown,0,,,,2023-07-02 07:25:11,0
[6788303](https://beaconcha.in/slot/6788303),0,Unknown,0,,,,2023-07-02 07:40:59,15
[6788591](https://beaconcha.in/slot/6788591),0,Unknown,0,,,,2023-07-02 08:38:35,15
[6788595](https://beaconcha.in/slot/6788595),0,Unknown,0,,,,2023-07-02 08:39:23,19
[6788606](https://beaconcha.in/slot/6788606),0,Unknown,0,,,,2023-07-02 08:41:35,30
[6788624](https://beaconcha.in/slot/6788624),0,Unknown,0,,,,2023-07-02 08:45:11,16
[6788651](https://beaconcha.in/slot/6788651),0,Unknown,0,,,,2023-07-02 08:50:35,11
[6788694](https://beaconcha.in/slot/6788694),0,Unknown,0,,,,2023-07-02 08:59:11,22
[6788719](https://beaconcha.in/slot/6788719),0,Unknown,0,,,,2023-07-02 09:04:11,15
[6788761](https://beaconcha.in/slot/6788761),0,Unknown,0,,,,2023-07-02 09:12:35,25
[6788866](https://beaconcha.in/slot/6788866),0,Unknown,0,,,,2023-07-02 09:33:35,2
[6788902](https://beaconcha.in/slot/6788902),0,Unknown,0,,,,2023-07-02 09:40:47,6
[6789004](https://beaconcha.in/slot/6789004),0,Unknown,0,,,,2023-07-02 10:01:11,12
[6789120](https://beaconcha.in/slot/6789120),0,Unknown,0,,,,2023-07-02 10:24:23,0
[6789174](https://beaconcha.in/slot/6789174),0,Unknown,0,,,,2023-07-02 10:35:11,22
[6789207](https://beaconcha.in/slot/6789207),0,Unknown,0,,,,2023-07-02 10:41:47,23
[6789254](https://beaconcha.in/slot/6789254),0,Unknown,0,,,,2023-07-02 10:51:11,6
[6789343](https://beaconcha.in/slot/6789343),0,Unknown,0,,,,2023-07-02 11:08:59,31
[6789495](https://beaconcha.in/slot/6789495),0,Unknown,0,,,,2023-07-02 11:39:23,23
[6789558](https://beaconcha.in/slot/6789558),0,Unknown,0,,,,2023-07-02 11:51:59,22
[6789636](https://beaconcha.in/slot/6789636),0,Unknown,0,,,,2023-07-02 12:07:35,4
[6789698](https://beaconcha.in/slot/6789698),0,Unknown,0,,,,2023-07-02 12:19:59,2
[6789868](https://beaconcha.in/slot/6789868),0,Unknown,0,,,,2023-07-02 12:53:59,12
[6789898](https://beaconcha.in/slot/6789898),0,Unknown,0,,,,2023-07-02 12:59:59,10
[6789925](https://beaconcha.in/slot/6789925),0,Unknown,0,,,,2023-07-02 13:05:23,5
[6789976](https://beaconcha.in/slot/6789976),0,Unknown,0,,,,2023-07-02 13:15:35,24
[6790017](https://beaconcha.in/slot/6790017),0,Unknown,0,,,,2023-07-02 13:23:47,1
[6790048](https://beaconcha.in/slot/6790048),0,Prysm,304724,,,,2023-07-02 13:29:59,0
[6790088](https://beaconcha.in/slot/6790088),0,Prysm,282982,,,,2023-07-02 13:37:59,8
[6790132](https://beaconcha.in/slot/6790132),0,Prysm,60302,,,,2023-07-02 13:46:47,20
[6790138](https://beaconcha.in/slot/6790138),0,Unknown,0,,,,2023-07-02 13:47:59,26
[6790139](https://beaconcha.in/slot/6790139),0,Unknown,0,,,,2023-07-02 13:48:11,27
[6790252](https://beaconcha.in/slot/6790252),0,Unknown,0,,,,2023-07-02 14:10:47,12
[6790276](https://beaconcha.in/slot/6790276),0,Unknown,0,,,,2023-07-02 14:15:35,4
[6790500](https://beaconcha.in/slot/6790500),0,Unknown,0,,,,2023-07-02 15:00:23,4
[6790501](https://beaconcha.in/slot/6790501),0,Lighthouse,592977,,,,2023-07-02 15:00:35,5
[6791239](https://beaconcha.in/slot/6791239),0,Unknown,0,,,,2023-07-02 17:28:11,7
[6791245](https://beaconcha.in/slot/6791245),0,Unknown,0,,,,2023-07-02 17:29:23,13
[6791369](https://beaconcha.in/slot/6791369),0,Prysm,27714,,,,2023-07-02 17:54:11,9
[6791393](https://beaconcha.in/slot/6791393),0,Unknown,0,,,,2023-07-02 17:58:59,1
[6791699](https://beaconcha.in/slot/6791699),0,Prysm,405253,,,,2023-07-02 19:00:11,19
[6791933](https://beaconcha.in/slot/6791933),0,Unknown,0,,,,2023-07-02 19:46:59,29
[6791964](https://beaconcha.in/slot/6791964),0,Prysm,106959,,,,2023-07-02 19:53:11,28
[6792047](https://beaconcha.in/slot/6792047),0,Prysm,26367,,,,2023-07-02 20:09:47,15
[6792088](https://beaconcha.in/slot/6792088),0,Unknown,0,,,,2023-07-02 20:17:59,24
[6792156](https://beaconcha.in/slot/6792156),0,Prysm,207464,,,,2023-07-02 20:31:35,28
[6792212](https://beaconcha.in/slot/6792212),0,Unknown,0,,,,2023-07-02 20:42:47,20
[6792484](https://beaconcha.in/slot/6792484),0,Unknown,0,,,,2023-07-02 21:37:11,4
[6792513](https://beaconcha.in/slot/6792513),0,Prysm,624908,,,,2023-07-02 21:42:59,1
[6792742](https://beaconcha.in/slot/6792742),0,Prysm,671955,,,,2023-07-02 22:28:47,6
[6792918](https://beaconcha.in/slot/6792918),0,Prysm,624933,,,,2023-07-02 23:03:59,22
[6792930](https://beaconcha.in/slot/6792930),0,Unknown,0,,,,2023-07-02 23:06:23,2
[6793021](https://beaconcha.in/slot/6793021),0,Prysm,46067,,,,2023-07-02 23:24:35,29
[6793105](https://beaconcha.in/slot/6793105),0,Unknown,0,,,,2023-07-02 23:41:23,17
[6793282](https://beaconcha.in/slot/6793282),0,Prysm,571146,,,,2023-07-03 00:16:47,2
[6793381](https://beaconcha.in/slot/6793381),0,Unknown,0,,,,2023-07-03 00:36:35,5
[6793409](https://beaconcha.in/slot/6793409),0,Unknown,0,,,,2023-07-03 00:42:11,1
[6793440](https://beaconcha.in/slot/6793440),0,Unknown,0,,,,2023-07-03 00:48:23,0
[6793632](https://beaconcha.in/slot/6793632),0,Prysm,263775,,,,2023-07-03 01:26:47,0
[6793685](https://beaconcha.in/slot/6793685),0,Prysm,19051,,,,2023-07-03 01:37:23,21
[6793760](https://beaconcha.in/slot/6793760),0,Unknown,0,,,,2023-07-03 01:52:23,0
[6793784](https://beaconcha.in/slot/6793784),0,Unknown,0,,,,2023-07-03 01:57:11,24
[6794130](https://beaconcha.in/slot/6794130),0,Prysm,209,,,,2023-07-03 03:06:23,18
[6794214](https://beaconcha.in/slot/6794214),0,Lighthouse,666087,,,,2023-07-03 03:23:11,6
[6794227](https://beaconcha.in/slot/6794227),0,Unknown,0,,,,2023-07-03 03:25:47,19
[6794271](https://beaconcha.in/slot/6794271),0,Unknown,0,,,,2023-07-03 03:34:35,31
[6794285](https://beaconcha.in/slot/6794285),0,Prysm,635221,,,,2023-07-03 03:37:23,13
